pos;lemma1;lemma2;word;F
PREDET_a_obj_masc_sg;a;le_le;au;8328
PREDET_de_obj_masc_pl;de;le_le;des;5069
PREDET_de_obj_masc_sg;de;le;del;5042
PREDET_en_obj_masc_sg;en1;le;el;3295
PREDET_a_obj_masc_sg;a;le_le;al;3203
PREDET_de_obj_masc_sg;de;le_le;du;2573
PREDET_a_obj_masc_pl;a;le_le;as;2343
PREDET_de_obj_masc_sg;de;le_le;dou;2286
PREDET_de_obj_femi_pl;de;le_le;des;2093
PREDET_en_obj_masc_sg;en1;le_le;ou;1057
PREDET_a_obj_femi_pl;a;le_le;as;1028
PREDET_en_obj_masc_pl;en1;le_le;es;794
PROCON;en1;le_le;ou;783
PREDET_en_obj_femi_pl;en1;le_le;es;622
PREDET_a_obj_masc_pl;a;le_le;aus;567
PREDET_de_obj_masc_sg;de;le_le;do;512
PRE;de;le_le;des;440
PREDET_a_obj_femi_pl;a;le_le;aus;229
PREDET_de_obj_masc_sg;de;le;dau;217
PREDET_a_obj_masc_pl;a;le_le;au;154
VER_pres_2_sg;a;le_le;as;135
PREDET_de_obj_masc_pl;de;le;daus;130
PROCON;que4;il;quil;124
PREDET_en_obj_masc_sg;en1;le;eu;122
VER_pres_2_sg;en1;le_le;es;120
VER_pper_masc_sg;en1;le;eu;105
PREDET_a_obj_masc_pl;a;le;az;92
PREDET_de_obj_femi_sg;de;le;del;91
ADV;en1;le;el;86
NOM_suj_masc_sg;de;le_le;des;86
PREDET_a_obj_femi_sg;a;le_le;al;77
PREDET_a_obj_femi_pl;a;le_le;au;68
PRO_pers_suj_3_femi_sg;en1;le;el;68
NOM_obj_masc_sg;de;le;deu;63
PREDET_de_obj_femi_pl;de;le;daus;62
PRO_invar;qui;que4;quique;49
PREDET_a_obj_masc_pl;en1;le_le;es;45
PREDET_en_obj_masc_sg;en1;le;u;42
PREDET_a_obj_femi_pl;a;le;az;41
PRO_invar;qui;que4;quiqu;41
PREDET_en_obj_masc_sg;en1;le_le;on;37
PREDET_de_obj_masc_sg;de;le;deu;36
PREDET_en_obj_femi_sg;en1;le;el;33
000;de;le;del;32
PREDET_en_obj_masc_sg;a;le_le;au;31
PROCON;en1;le;u;28
PREDET_de_obj_masc_pl;de;le;dez;27
000;de;le_le;des;26
PREDET_a_obj_masc_pl;a;le_le;aux;26
PREDET_a_obj_masc_sg;a;le;av;23
PREDET_a_obj_masc_sg;en1;le_le;ou;22
ADV;de;le_le;des;21
PREDET_a_obj_femi_pl;en1;le_le;es;20
VER_pper_masc_sg;a;le_le;au;19
PRO_pers_acc_3_masc_pl;bet_a;le_le;aus;18
PREDET_de_obj_masc_pl;de;le;das;17
PREDET_en_obj_masc_pl;en1;le;ens;17
000;a;le_le;al;16
PREDET_de_obj_masc_sg;de;le_le;des;15
PRE;en1;le_le;ou;14
PREDET_en_obj_femi_pl;en1;le;ons;14
PREDET_en_obj_masc_sg;en1;le_le;es;13
NOM_obj_masc_pl;a;le_le;as;12
PRE;a;le_le;as;12
PREDET_en_obj_masc_sg;en1;le;v;12
NOM_obj_masc_pl;de;le_le;des;11
PREDET_de_obj_femi_pl;de;le;das;11
PREDET_de_obj_masc_pl;de;le;dau;11
PREDET_en_obj_masc_sg;en1;le;enl;11
PREDET_a_obj_masc_pl;a;le_le;al;10
PREDET_a_obj_masc_sg;a;le_le;as;10
PREDET_de_obj_femi_sg;de;le_le;des;10
PREDET_de_obj_masc_pl;de;le;del;10
PREDET_en_obj_femi_pl;en1;le;ens;10
PREDET_en_obj_masc_pl;en1;le;ons;10
PRO_invar;qui;que4;cuique;10
VER_pres_3_sg;en1;le_le;es;10
PREDET_a_obj_masc_pl;a;le_le;auz;7
000;en1;le;el;6
ADV;a;le_le;al;6
NOM_obj_masc_sg;de;le;del;6
PRE;de;le;del;6
PREDET_a_obj_femi_pl;a;le_le;aux;6
ADV;en1;le;ens;5
CON_subord;qui;que4;cuiqu;5
NOM_suj_masc_sg;de;le;deu;5
PREDET_en_obj_masc_sg;a;le_le;al;5
PRO_pers_acc_3_masc_pl;en1;le_le;es;5
PRO_pers_suj_3_masc_sg;unb_a;le_le;al;5
VER_pper_femi_sg;mautaillier;D11_mautaillier;maltaillie;5
ADV;a;le_le;au;4
ADV;en1;le_le;es;4
NOM_obj_masc_sg;de;le;dol;4
PREDET_a_obj_femi_sg;a;le_le;as;4
PREDET_de_obj_femi_pl;de;le;dez;4
PREDET_de_obj_femi_sg;de;le_le;du;4
PREDET_en_obj_masc_pl;a;le_le;as;4
PREDET_en_obj_masc_pl;en1;le;el;4
PRO_invar;qui;que4;kike;4
PRO_invar;qui;que4;quiq;4
PRO_pers_suj_3_femi_sg;a;le_le;al;4
VER_pres_2_sg;a;le;az;4
ADJ_suj_masc_sg;a;le_le;aus;3
ERROR;de;le_le;des;3
NOM_obj_masc_pl;de;le;dez;3
NOM_obj_masc_sg;de;le_le;des;3
NOM_suj_masc_sg;de;le;dez;3
PREDET_a_obj_femi_pl;de;le_le;des;3
PREDET_a_obj_femi_sg;a;le;alle;3
PREDET_a_obj_masc_sg;a;le_le;aus;3
PREDET_de_obj_femi_sg;de;le_le;do;3
PREDET_de_obj_femi_sg;de;le_le;dou;3
PREDET_de_obj_masc_sg;de;le;dol;3
PREDET_de_suj_masc_pl;de;le_le;des;3
PREDET_en_obj_femi_pl;a;le_le;as;3
PREDET_en_obj_masc_pl;en1;le_le;ou;3
PREDET_en_obj_masc_sg;en1;le;hu;3
PREDET_en_obj_masc_sg;en1;le;ov;3
PRO_invar;en1;le_le;on;3
PRO_invar;qui;que4;cuik;3
PRO_invar;qui;que4;cuiqu;3
PRO_invar;qui;que4;kik;3
000;a;le_le;au;2
000;en1;le_le;es;2
ADJ_obj_masc_pl;a;le_le;aus;2
ADJ_suj_masc_sg;de;le_le;dou;2
CON_coord;en1;le_le;ou;2
CON_subord;i;tant;itantque;2
CON_subord;qui;que4;quique;2
NOM_obj_masc_sg;de;le_le;du;2
NPR_obj_masc_sg;de;le_le;do;2
NPR_obj_masc_sg;en1;le_le;ou;2
PREDET_a_obj_femi_pl;a;le_le;auz;2
PREDET_a_obj_masc_pl;a;le;als;2
PREDET_a_obj_masc_pl;de;le_le;des;2
PREDET_a_obj_masc_pl;en1;le;ous;2
PREDET_a_obj_masc_sg;de;le;del;2
PREDET_de_obj_femi_pl;de;le;del;2
PREDET_en_obj_femi_pl;en1;le;ous;2
PREDET_en_obj_femi_sg;en1;le;wne;2
PREDET_en_obj_masc_pl;en1;le;ous;2
PREDET_en_suj_masc_sg;en1;le;el;2
PRO_invar;qui;que4;kiki;2
PRO_invar;qui;que4;quike;2
PRO_invar;qui;que4;quilqu;2
PRO_invar;qui;que4;quiqque;2
PRO_invar;qui;que4;quiqui;2
PRO_pers_acc_3_masc_pl;bet_a;le_le;au;2
PROCON;a;le_le;au;2
PROCON;que4;il;kil;2
VER_pper_masc_sg;de;le_le;du;2
VER_pres_2_sg;de;le_le;des;2
VER_simp_3_sg;en1;le_le;ou;2
000;a;le_le;aus;1
000;en1;le_le;on;1
ADJ_card;de;le;deu;1
ADJ_card;de;le;dez;1
ADJ_card;de;le_le;dou;1
ADJ_obj_masc_pl;a;le_le;auz;1
ADV;a;le;az;1
ADV;en1;le;ez;1
ADV;en1;le_le;ou;1
CON_coord;en1;le;e;1
CON_subord;qui;que4;cuique;1
CON_subord;qui;que4;quiqu;1
DET_def_obj_femi_pl;de;le_le;des;1
DET_def_obj_masc_pl;a;le_le;as;1
DET_def_obj_masc_sg;de;le;del;1
DET_ndf_obj_femi_sg;en1;le;wne;1
DET_ndf_obj_masc_pl;en1;le_le;es;1
DET_ndf_obj_masc_sg;en1;le;u;1
ERROR;en1;le;el;1
ERROR;en1;le_le;es;1
NOM_obj_masc_pl;a;le_le;aus;1
NOM_obj_masc_pl;a;le_le;aux;1
NOM_obj_masc_sg;de;le_le;dou;1
NOM_obj_masc_sg;en1;le;eu;1
NPR_obj_masc_sg;de;le_le;des;1
PRE;a;le_le;al;1
PRE;de;le;dez;1
PRE;de;le_le;do;1
PRE;de;le_le;du;1
PRE;en1;le_le;on;1
PREDET_a_obj_femi_pl;a;le;alz;1
PREDET_a_obj_femi_pl;a;le_le;al;1
PREDET_a_obj_femi_sg;a;le_le;aus;1
PREDET_a_obj_femi_sg;de;le;del;1
PREDET_a_obj_masc_pl;a;le;aiz;1
PREDET_a_obj_masc_pl;a;le;alz;1
PREDET_a_obj_masc_pl;a;le;ass;1
PREDET_a_obj_masc_pl;a;le;ax;1
PREDET_a_obj_masc_sg;a;le;hau;1
PREDET_a_obj_masc_sg;a;le_le;aux;1
PREDET_a_suj_masc_sg;a;le_le;as;1
PREDET_a_suj_masc_sg;a;le_le;au;1
PREDET_de_obj_femi_pl;de;le;dau;1
PREDET_de_obj_femi_pl;en1;le_le;es;1
PREDET_de_obj_masc_pl;a;le_le;aus;1
PREDET_de_obj_masc_pl;de;le;dels;1
PREDET_de_obj_masc_pl;de;le;delz;1
PREDET_de_obj_masc_pl;de;le;deu;1
PREDET_de_suj_masc_sg;de;le;del;1
PREDET_de_suj_masc_sg;de;le_le;des;1
PREDET_de_suj_masc_sg;de;le_le;du;1
PREDET_en_obj_femi_pl;en1;le;el;1
PREDET_en_obj_femi_pl;en1;le_le;ou;1
PREDET_en_obj_femi_pl;en1;le;onz;1
PREDET_en_obj_femi_sg;en1;le_le;ou;1
PREDET_en_obj_masc_pl;en1;le;els;1
PREDET_en_obj_masc_pl;en1;le;elz;1
PREDET_en_obj_masc_pl;en1;le_le;on;1
PRO_invar;de;le_le;dou;1
PRO_invar;en1;le;el;1
PRO_invar;en1;le_le;ou;1
PRO_invar;qui;que4;cuike;1
PRO_invar;qui;que4;cuiq;1
PRO_invar;qui;que4;kyque;1
PRO_invar;qui;que4;qiqe;1
PRO_invar;qui;que4;quiqe;1
PRO_invar;qui;que4;quiunqes;1
PRO_pers_acc_3_masc_pl;bet_a;le;az;1
PRO_pers_acc_3_masc_pl;bet_a;le_le;as;1
PRO_pers_acc_3_masc_pl;bet_en1;le_le;es;1
PRO_pers_suj_3_femi_pl;en1;le;el;1
PRO_pers_suj_3_masc_sg;unb_en1;le;el;1
PROCON;en1;le;hu;1
PROCON;qui;que4;quiqu;1
VER_pper_masc_pl;a;le_le;auz;1
VER_pres_1_sg;de;le_le;do;1
VER_pres_3_pl;en1;le_le;on;1
VER_simp_1_sg;de;le_le;des;1
VER_simp_1_sg;en1;le_le;ou;1
VER_simp_2_sg;a;le_le;aus;1
